User ID,Wallet Public Key,Contribution Amount,Transaction Hash,Status
User 1,GC24EVHU3BNB4QCTMJAHG5FB7IOY6IBSJG2EANS74X3YRTNOPUIPNSHW,76 XLM,ac38b35c96c26fba08b2974601f92547ef62b40de0688530d87463c1a7d5a12e,Confirmed on Testnet
User 2,GA2MS4YUZTRRWQY234R5PLKOKCQD7T6REGMOGFJCMNGDHH2GKAQOC524,62 XLM,6e59b8aa0039afdb342c9c42ddc68260360efc23e41179ba765262abdec2bd99,Confirmed on Testnet
User 3,GAK2VQD2AWN37HM77YUC67AVDKBKETULKMFSICFM2N3SAUTE3IVJ7W3Q,24 XLM,4ab09c363af60a644ac20978a89484ebf1b107f7f3627a36c59b26256409703f,Confirmed on Testnet
User 4,GDQMQCX5IV6HLBY3Z5PUXL5MBML4ZE7PEYHQROFD5PXHPISYIP7TJEJY,33 XLM,d2668a0eb41e397a1d33cab885370636ba7b653df850cbfc7c38847cfd738e39,Confirmed on Testnet
User 5,GCTQVXT35767YASYR3P32N6ISDPX6DHN3CJ3OQNUHYLCXRPOA6GCEOPZ,84 XLM,c2c9beb4dd90d28cfc8621191e4c327741fa3b147042458a971bf64061114526,Confirmed on Testnet
User 6,GBSXF6A7F3G3HQNCPBNK7VEGQSWZ3OJER65SG42RNY6WYA3GPNNBFH7E,72 XLM,4344977fdc6fb168010fcb16f7348d5a378d7275dcc472aca34120deace29f37,Confirmed on Testnet
User 7,GDPBQLBUQSBLM32QRSLMQT47CU6E6TCEQDC4ZEAWI5R2ZQHU2MT2S44O,55 XLM,1a6fccbe8775a04311bf96baa12e94613981c407b0fabe0d141c6f82ec881098,Confirmed on Testnet
User 8,GB7CPFH3WYEYWMPXETQK5Q6ZWMWPZ7QZ2QOTGOIKLDHU4Z65HG4VQPLI,64 XLM,12e91324d5413e756be00294b04ba609e331a483be74af17dc2fe91fec845447,Confirmed on Testnet
User 9,GAHCWAE5VV7BIYJ3XTQZTOFKUOINMORWXLCSUPWHEDP4CKEFIUKL3KHJ,38 XLM,90938ce2181c6913d25c1a8632990d3855bb50fcb87950e57d6c900a85fde3dc,Confirmed on Testnet
User 10,GAM3L7VBRGXLOXTTNZTVVZNYQTMCRK5O3TRRC2OJFPUH3OD2YRTGP263,99 XLM,73ea5da62d4c8afafbb119e60095b1e6082e4c412030be788ecf5580026f1670,Confirmed on Testnet
User 11,GCYB3ZVVVYE7RHQLVLHS6OYL3GXPKNXZI4WJG3PGJI4KJ3MS3IYLUBWZ,77 XLM,4869c34b177039a15f133727d5195da60acdc3ad79e445f2b954b8f6ac9cda50,Confirmed on Testnet
User 12,GDP4XL5QNW2JGEXU62ROUONAI2EXGC3IDJI3VYA4TSUXKMQIXU766753,93 XLM,4b43eb90c031e57459d0632d601e570445f675d6eecb5662ae581d996c4c6073,Confirmed on Testnet
User 13,GAWZ4JKPQIKR2F6AAFNONBUCK7HTARULMSIFMIL6NROUIWF33QIZL4DQ,41 XLM,ee67d47f8729854881b1aa34ca4697c4a28b691e48c4fb39ad71f1240d50e045,Confirmed on Testnet
User 14,GCHZNY3YJXRWEMKATWOIC3A366KXGKS7CFS7KE772TGJTSJW5PYRNDD6,38 XLM,96e86a1f2a670ca80471deb9222067ccd12a1f6c390eaf177f824f37c5203089,Confirmed on Testnet
